kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
弟,7,2,1161,4,"Younger Brother, Faithful Service To Elders","てい, だい, で",おとうと
形,7,2,418,3,"Shape, Form, Style","けい, ぎょう","かた, -がた, かたち, なり"
来,7,2,102,5,"Come, Due, Next, Cause, Become","らい, たい","く.る, きた.る, きた.す, き.たす, き.たる, き, こ"
社,7,2,21,4,"Company, Firm, Office, Association, Shrine",しゃ,やしろ
角,7,2,805,2,"Angle, Corner, Square, Horn, Antlers",かく,"かど, つの"
言,7,2,83,4,"Say, Word","げん, ごん","い.う, こと"
谷,7,2,508,2,Valley,こく,"たに, きわ.まる"
走,7,2,626,4,Run,そう,はし.る
近,7,2,194,4,"Near, Early, Akin, Tantamount","きん, こん",ちか.い
里,7,2,1096,0,"Ri, Village, Parent's Home, League",り,さと
麦,7,2,1615,2,"Barley, Wheat",ばく,むぎ
学,8,1,63,5,"Study, Learning, Science",がく,まな.ぶ
林,8,1,656,2,"Grove, Forest",りん,はやし
空,8,1,304,4,"Empty, Sky, Void, Vacant, Vacuum",くう,"そら, あ.く, あ.き, あ.ける, から, す.く, す.かす, むな.しい"
金,8,1,53,5,Gold,"きん, こん, ごん","かね, かな-, -がね"
雨,8,1,950,5,Rain,う,"あめ, あま-, -さめ"
青,8,1,589,4,"Blue, Green","せい, しょう","あお, あお-, あお.い"
草,9,1,967,3,"Grass, Weeds, Herbs, Pasture, Write, Draft",そう,"くさ, くさ-, -ぐさ"
音,9,1,491,4,"Sound, Noise","おん, いん, -のん","おと, ね"
化,4,3,89,3,"Change, Take The Form Of, Influence, Enchant, Delude, -ization","か, け","ば.ける, ば.かす, ふ.ける, け.する"
地,6,2,40,4,"Ground, Earth","ち, じ",
両,6,3,247,3,"Both, Old Japanese Coin, Counter For Carriages (e.g., In A Train), Two",りょう,"てる, ふたつ"
全,6,3,75,3,"Whole, Entire, All, Complete, Fulfill",ぜん,"まった.く, すべ.て"
向,6,3,182,3,"Yonder, Facing, Beyond, Confront, Defy, Tend Toward, Approach",こう,"む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い"
